svtype	szbin	count	reference	merge
INS	[2.5k,5k)	1506	grch38	jasmine
INS	>=5k	850	grch38	jasmine
DUP	[0,50)	0	grch38	jasmine
DUP	[50,100)	0	grch38	jasmine
DUP	[100,200)	0	grch38	jasmine
DUP	[200,300)	0	grch38	jasmine
DUP	[300,400)	0	grch38	jasmine
DUP	[400,600)	0	grch38	jasmine
DUP	[600,800)	0	grch38	jasmine
DUP	[800,1k)	0	grch38	jasmine
DUP	[1k,2.5k)	0	grch38	jasmine
DUP	[2.5k,5k)	0	grch38	jasmine
DUP	>=5k	0	grch38	jasmine
INV	[0,50)	0	grch38	jasmine
INV	[50,100)	0	grch38	jasmine
INV	[100,200)	0	grch38	jasmine
INV	[200,300)	0	grch38	jasmine
INV	[300,400)	0	grch38	jasmine
INV	[400,600)	0	grch38	jasmine
INV	[600,800)	0	grch38	jasmine
INV	[800,1k)	0	grch38	jasmine
INV	[1k,2.5k)	0	grch38	jasmine
INV	[2.5k,5k)	0	grch38	jasmine
INV	>=5k	0	grch38	jasmine
NON	[0,50)	0	grch38	jasmine
NON	[50,100)	0	grch38	jasmine
NON	[100,200)	0	grch38	jasmine
NON	[200,300)	0	grch38	jasmine
NON	[300,400)	0	grch38	jasmine
NON	[400,600)	0	grch38	jasmine
NON	[600,800)	0	grch38	jasmine
NON	[800,1k)	0	grch38	jasmine
NON	[1k,2.5k)	0	grch38	jasmine
NON	[2.5k,5k)	0	grch38	jasmine
NON	>=5k	0	grch38	jasmine
UNK	[0,50)	0	grch38	jasmine
UNK	[50,100)	0	grch38	jasmine
UNK	[100,200)	0	grch38	jasmine
UNK	[200,300)	0	grch38	jasmine
UNK	[300,400)	0	grch38	jasmine
UNK	[400,600)	0	grch38	jasmine
UNK	[600,800)	0	grch38	jasmine
UNK	[800,1k)	0	grch38	jasmine
UNK	[1k,2.5k)	0	grch38	jasmine
UNK	[2.5k,5k)	0	grch38	jasmine
UNK	>=5k	0	grch38	jasmine
DEL	[0,50)	0	grch38	naive
DEL	[50,100)	20480	grch38	naive
DEL	[100,200)	10226	grch38	naive
DEL	[200,300)	3464	grch38	naive
DEL	[300,400)	4138	grch38	naive
DEL	[400,600)	1971	grch38	naive
DEL	[600,800)	1054	grch38	naive
DEL	[800,1k)	618	grch38	naive
DEL	[1k,2.5k)	2050	grch38	naive
DEL	[2.5k,5k)	1117	grch38	naive
DEL	>=5k	994	grch38	naive
INS	[0,50)	0	grch38	naive
INS	[50,100)	27523	grch38	naive
INS	[100,200)	12674	grch38	naive
INS	[200,300)	4652	grch38	naive
INS	[300,400)	9145	grch38	naive
INS	[400,600)	3158	grch38	naive
INS	[600,800)	1256	grch38	naive
INS	[800,1k)	890	grch38	naive
INS	[1k,2.5k)	2179	grch38	naive
INS	[2.5k,5k)	1100	grch38	naive
INS	>=5k	715	grch38	naive
DUP	[0,50)	0	grch38	naive
DUP	[50,100)	0	grch38	naive
DUP	[100,200)	0	grch38	naive
DUP	[200,300)	0	grch38	naive
DUP	[300,400)	0	grch38	naive
DUP	[400,600)	0	grch38	naive
DUP	[600,800)	0	grch38	naive
DUP	[800,1k)	0	grch38	naive
DUP	[1k,2.5k)	0	grch38	naive
DUP	[2.5k,5k)	0	grch38	naive
